Id,Model,Augmentasi,Freeze,Learning Rate,Layer,Optimizer
1,Inception,Yes,None,0.0001,1,Adam
2,Inception,Yes,None,0.001,1,Adam
3,Inception,Yes,None,0.001,2,Adam
4,Inception,Yes,None,0.001,1,SGD
5,Inception,Yes,None,0.001,2,SGD
6,Inception,No,None,0.0001,1,Adam
7,Inception,No,None,0.001,1,SGD
8,Inception,No,None,0.001,1,Adam
9,Inception,No,½,0.001,2,Adam
10,Inception,No,None,0.0001,2,Adam
11,VGG,Yes,½,0.001,1,SGD
12,VGG,Yes,None,0.001,1,SGD
13,VGG,Yes,None,0.0001,2,SGD
14,VGG,Yes,None,0.0001,2,Adam
15,VGG,Yes,½,0.001,2,SGD
16,VGG,No,½,0.001,1,SGD
17,VGG,No,½,0.0001,1,Adam
18,VGG,No,½,0.001,2,SGD
19,VGG,No,½,0.0001,2,Adam
20,VGG,No,None,0.001,1,SGD
21,Xception,Yes,None,0.0001,1,Adam
22,Xception,Yes,None,0.001,2,SGD
23,Xception,Yes,None,0.001,2,Adam
24,Xception,Yes,None,0.0001,2,Adam
25,Xception,Yes,None,0.001,1,SGD
26,Xception,Yes,½,0.001,2,Adam
27,Xception,Yes,None,0.001,1,Adam
28,Xception,Yes,½,0.001,1,Adam
29,Xception,No,None,0.001,1,Adam
30,Xception,No,None,0.0001,1,Adam