epoch,accuracy,loss,val_accuracy,val_loss,source,Model,Augmentasi,Freeze,Learning Rate,Layer,Optimizer
0,0.9030552506446838,0.3443515300750732,0.990338146686554,0.0390556044876575,1,Inception,Yes,None,0.0001,1,Adam
1,0.9940658211708068,0.0209903363138437,0.9855072498321532,0.0427055917680263,1,Inception,Yes,None,0.0001,1,Adam
2,0.9960047006607056,0.0176368411630392,0.992270529270172,0.0217275172472,1,Inception,Yes,None,0.0001,1,Adam
3,0.9965922236442566,0.0141662741079926,0.9961352944374084,0.0194821860641241,1,Inception,Yes,None,0.0001,1,Adam
4,0.9954758882522584,0.0153644382953643,0.9961352944374084,0.0143171204254031,1,Inception,Yes,None,0.0001,1,Adam
5,0.9970034956932068,0.0120450230315327,0.9777777791023254,0.0675515681505203,1,Inception,Yes,None,0.0001,1,Adam
6,0.9970622658729552,0.0120112216100096,0.9942029118537904,0.0192884895950555,1,Inception,Yes,None,0.0001,1,Adam
7,0.998237371444702,0.0071878228336572,0.9961352944374084,0.0110339000821113,1,Inception,Yes,None,0.0001,1,Adam
8,0.9986486434936525,0.006252683699131,0.9990338087081908,0.0020199683494865,1,Inception,Yes,None,0.0001,1,Adam
9,0.9960047006607056,0.014945582486689,0.9864734411239624,0.0323744677007198,1,Inception,Yes,None,0.0001,1,Adam
10,0.9980023503303528,0.0059195440262556,0.991304337978363,0.0427365414798259,1,Inception,Yes,None,0.0001,1,Adam
11,0.9995887279510498,0.0021411757916212,0.9942029118537904,0.0180259589105844,1,Inception,Yes,None,0.0001,1,Adam
12,0.9993537068367004,0.0042748958803713,0.9932367205619812,0.0199074856936931,1,Inception,Yes,None,0.0001,1,Adam
13,0.9952996373176576,0.0193042010068893,0.991304337978363,0.0270090606063604,1,Inception,Yes,None,0.0001,1,Adam
0,0.5616921186447144,1.5194206237792969,0.8792270421981812,0.4015862643718719,10,Inception,No,None,0.0001,2,Adam
1,0.9474148154258728,0.1861188858747482,0.9758453965187072,0.0565851330757141,10,Inception,No,None,0.0001,2,Adam
2,0.9850175976753236,0.0612952671945095,0.9855072498321532,0.0998590141534805,10,Inception,No,None,0.0001,2,Adam
3,0.9841362833976746,0.0521035082638263,0.966183602809906,0.1327407360076904,10,Inception,No,None,0.0001,2,Adam
4,0.9920681715011596,0.0322430245578289,0.990338146686554,0.0219741091132164,10,Inception,No,None,0.0001,2,Adam
5,0.9905992746353148,0.0354512855410575,0.966183602809906,0.1120734214782714,10,Inception,No,None,0.0001,2,Adam
6,0.9853113889694214,0.0521982200443744,0.9806763529777528,0.0523228496313095,10,Inception,No,None,0.0001,2,Adam
7,0.9926556944847108,0.025140181183815,0.990338146686554,0.0236075464636087,10,Inception,No,None,0.0001,2,Adam
8,0.9941245317459106,0.0243483986705541,1.0,0.0041307262144982,10,Inception,No,None,0.0001,2,Adam
9,0.9967685341835022,0.0150284515693783,0.990338146686554,0.0288240555673837,10,Inception,No,None,0.0001,2,Adam
10,0.9985311627388,0.0044655255042016,0.9855072498321532,0.0608945004642009,10,Inception,No,None,0.0001,2,Adam
11,0.9950058460235596,0.0154605731368064,0.9275362491607666,0.2062142640352249,10,Inception,No,None,0.0001,2,Adam
12,0.9958872199058532,0.0157964639365673,0.9806763529777528,0.1401197910308838,10,Inception,No,None,0.0001,2,Adam
13,0.9923619031906128,0.0338899679481983,0.9758453965187072,0.0883073285222053,10,Inception,No,None,0.0001,2,Adam
0,0.11175087839365,2.913339614868164,0.5053139925003052,2.314472198486328,11,VGG,Yes,½,0.001,1,SGD
1,0.5338425636291504,1.4872101545333862,0.886956512928009,0.5112740397453308,11,VGG,Yes,½,0.001,1,SGD
2,0.8072267770767212,0.5758365988731384,0.9594202637672424,0.1881256997585296,11,VGG,Yes,½,0.001,1,SGD
3,0.8955934047698975,0.3197337985038757,0.9690821170806884,0.1375101655721664,11,VGG,Yes,½,0.001,1,SGD
4,0.9310223460197448,0.2133510112762451,0.9652174115180968,0.130778357386589,11,VGG,Yes,½,0.001,1,SGD
5,0.9545828700065612,0.1526059210300445,0.9768115878105164,0.0922574698925018,11,VGG,Yes,½,0.001,1,SGD
6,0.966509997844696,0.1171788349747657,0.982608675956726,0.0498307421803474,11,VGG,Yes,½,0.001,1,SGD
7,0.97115159034729,0.0929014533758163,0.9835748672485352,0.0447745025157928,11,VGG,Yes,½,0.001,1,SGD
8,0.9800822734832764,0.0693026334047317,0.9845410585403442,0.0475922040641307,11,VGG,Yes,½,0.001,1,SGD
9,0.983489990234375,0.0603192299604415,0.990338146686554,0.0362385921180248,11,VGG,Yes,½,0.001,1,SGD
10,0.985076367855072,0.0516779758036136,0.9806763529777528,0.0574633553624153,11,VGG,Yes,½,0.001,1,SGD
11,0.9866039752960204,0.0464530922472476,0.990338146686554,0.0283675882965326,11,VGG,Yes,½,0.001,1,SGD
12,0.9867215156555176,0.0429008342325687,0.9884058237075806,0.0318850316107273,11,VGG,Yes,½,0.001,1,SGD
13,0.9898355007171632,0.0369428470730781,0.9893719553947448,0.0351059176027774,11,VGG,Yes,½,0.001,1,SGD
14,0.9907755851745604,0.0335131026804447,0.991304337978363,0.033350370824337,11,VGG,Yes,½,0.001,1,SGD
15,0.9923619031906128,0.0281312353909015,0.9932367205619812,0.0227318257093429,11,VGG,Yes,½,0.001,1,SGD
16,0.9930081963539124,0.0248481184244155,0.9942029118537904,0.0206111650913953,11,VGG,Yes,½,0.001,1,SGD
17,0.9936545491218568,0.0236385948956012,0.991304337978363,0.0281812325119972,11,VGG,Yes,½,0.001,1,SGD
18,0.9936545491218568,0.023155715316534,0.9951691031455994,0.0191376600414514,11,VGG,Yes,½,0.001,1,SGD
19,0.9937132596969604,0.0218380466103553,0.9951691031455994,0.0161961428821086,11,VGG,Yes,½,0.001,1,SGD
20,0.995064616203308,0.0190784204751253,0.991304337978363,0.0223377104848623,11,VGG,Yes,½,0.001,1,SGD
21,0.9945358633995056,0.0198656469583511,0.9951691031455994,0.0169044062495231,11,VGG,Yes,½,0.001,1,SGD
22,0.995358407497406,0.0179832559078931,0.9932367205619812,0.019264655187726,11,VGG,Yes,½,0.001,1,SGD
23,0.995064616203308,0.0174125581979751,0.9942029118537904,0.0193719863891601,11,VGG,Yes,½,0.001,1,SGD
24,0.9951821565628052,0.016116663813591,0.9942029118537904,0.013167125172913,11,VGG,Yes,½,0.001,1,SGD
25,0.9967097640037536,0.0130233969539403,0.9932367205619812,0.0177337098866701,11,VGG,Yes,½,0.001,1,SGD
26,0.996827244758606,0.0120132034644484,0.9884058237075806,0.0299915745854377,11,VGG,Yes,½,0.001,1,SGD
27,0.9964747428894044,0.0119473338127136,0.9971014261245728,0.0132752712815999,11,VGG,Yes,½,0.001,1,SGD
28,0.996827244758606,0.0109486216679215,0.9932367205619812,0.0179757941514253,11,VGG,Yes,½,0.001,1,SGD
29,0.9961809515953064,0.0127743585035204,0.9951691031455994,0.0165276788175106,11,VGG,Yes,½,0.001,1,SGD
0,0.2297884821891784,2.5060300827026367,0.7449275255203247,0.901496410369873,12,VGG,Yes,None,0.001,1,SGD
1,0.7663336992263794,0.7080549597740173,0.9439613819122314,0.1908652931451797,12,VGG,Yes,None,0.001,1,SGD
2,0.9080493450164796,0.2832324802875519,0.9594202637672424,0.130031555891037,12,VGG,Yes,None,0.001,1,SGD
3,0.9524089097976683,0.1527276635169983,0.9739130139350892,0.08431938290596,12,VGG,Yes,None,0.001,1,SGD
4,0.9671562910079956,0.1046212390065193,0.9797101616859436,0.0485826022922992,12,VGG,Yes,None,0.001,1,SGD
5,0.978965938091278,0.0692615211009979,0.9855072498321532,0.0458378121256828,12,VGG,Yes,None,0.001,1,SGD
6,0.982197403907776,0.0576460510492324,0.9893719553947448,0.0317046865820884,12,VGG,Yes,None,0.001,1,SGD
7,0.9871327877044678,0.0405203066766262,0.991304337978363,0.029050339013338,12,VGG,Yes,None,0.001,1,SGD
8,0.9903642535209656,0.0336738750338554,0.9835748672485352,0.0580895878374576,12,VGG,Yes,None,0.001,1,SGD
9,0.9901880025863647,0.0325461737811565,0.991304337978363,0.0328438207507133,12,VGG,Yes,None,0.001,1,SGD
10,0.9926556944847108,0.0236610993742942,0.9874396324157716,0.0452795960009098,12,VGG,Yes,None,0.001,1,SGD
11,0.9941245317459106,0.0184077247977256,0.991304337978363,0.0340172760188579,12,VGG,Yes,None,0.001,1,SGD
12,0.9954758882522584,0.0167916100472211,0.990338146686554,0.0304416269063949,12,VGG,Yes,None,0.001,1,SGD
0,0.0503525249660015,3.153096437454224,0.0425120778381824,3.01060152053833,13,VGG,Yes,None,0.0001,2,SGD
1,0.0542890727519989,3.054666042327881,0.0444444455206394,2.992636680603028,13,VGG,Yes,None,0.0001,2,SGD
2,0.0552878975868225,3.0277459621429443,0.0714975818991661,2.9847774505615234,13,VGG,Yes,None,0.0001,2,SGD
3,0.0554054044187068,3.012690305709839,0.0821256041526794,2.976710319519043,13,VGG,Yes,None,0.0001,2,SGD
4,0.0623971782624721,2.995838165283203,0.1033816412091255,2.9663100242614746,13,VGG,Yes,None,0.0001,2,SGD
5,0.0646886005997657,2.982145071029663,0.1410627961158752,2.9543533325195312,13,VGG,Yes,None,0.0001,2,SGD
6,0.0732079893350601,2.9664463996887207,0.1381642520427703,2.936809778213501,13,VGG,Yes,None,0.0001,2,SGD
7,0.0762632191181182,2.948803186416626,0.1507246345281601,2.9118540287017822,13,VGG,Yes,None,0.0001,2,SGD
8,0.0916568711400032,2.92835021018982,0.211594209074974,2.8740572929382324,13,VGG,Yes,None,0.0001,2,SGD
9,0.1066392511129379,2.890768527984619,0.2251207679510116,2.8042845726013184,13,VGG,Yes,None,0.0001,2,SGD
10,0.1322561651468277,2.8247628211975098,0.308212548494339,2.6793859004974365,13,VGG,Yes,None,0.0001,2,SGD
11,0.1695652157068252,2.7081706523895264,0.3903381526470184,2.4558451175689697,13,VGG,Yes,None,0.0001,2,SGD
12,0.2170387804508209,2.514744997024536,0.4975845515727997,2.1183056831359863,13,VGG,Yes,None,0.0001,2,SGD
13,0.2800235152244568,2.256057977676392,0.6270531415939331,1.7082043886184692,13,VGG,Yes,None,0.0001,2,SGD
14,0.3508813083171844,1.991329312324524,0.6550724506378174,1.365575075149536,13,VGG,Yes,None,0.0001,2,SGD
15,0.4239718019962311,1.7341216802597046,0.7700483202934265,1.0836223363876345,13,VGG,Yes,None,0.0001,2,SGD
16,0.4896592199802398,1.5270881652832031,0.8135265707969666,0.8290468454360962,13,VGG,Yes,None,0.0001,2,SGD
17,0.5468272566795349,1.3340411186218262,0.8589372038841248,0.6824343204498291,13,VGG,Yes,None,0.0001,2,SGD
18,0.5971797704696655,1.1857521533966064,0.8859903216362,0.5447563529014587,13,VGG,Yes,None,0.0001,2,SGD
19,0.6474735736846924,1.0473212003707886,0.8859903216362,0.4601262807846069,13,VGG,Yes,None,0.0001,2,SGD
20,0.6775557994842529,0.934772253036499,0.9207729697227478,0.3752023875713348,13,VGG,Yes,None,0.0001,2,SGD
21,0.7190951704978943,0.8198250532150269,0.9111111164093018,0.3663899004459381,13,VGG,Yes,None,0.0001,2,SGD
22,0.7371327877044678,0.7525873184204102,0.939130425453186,0.2697548866271972,13,VGG,Yes,None,0.0001,2,SGD
23,0.7668625116348267,0.6815770864486694,0.9207729697227478,0.2544662356376648,13,VGG,Yes,None,0.0001,2,SGD
24,0.7818449139595032,0.6297979354858398,0.9516907930374146,0.2102982997894287,13,VGG,Yes,None,0.0001,2,SGD
25,0.8071680665016174,0.5635712146759033,0.9449275135993958,0.211630642414093,13,VGG,Yes,None,0.0001,2,SGD
26,0.8218566179275513,0.522429347038269,0.9603864550590516,0.1728307008743286,13,VGG,Yes,None,0.0001,2,SGD
27,0.8332549929618835,0.4893427193164825,0.9603864550590516,0.1593407243490219,13,VGG,Yes,None,0.0001,2,SGD
28,0.845652163028717,0.4552513360977173,0.9613526463508606,0.1305010765790939,13,VGG,Yes,None,0.0001,2,SGD
29,0.8551116585731506,0.4241666495800018,0.957487940788269,0.1574127376079559,13,VGG,Yes,None,0.0001,2,SGD
30,0.8656874299049377,0.3951799273490906,0.9690821170806884,0.1330379992723465,13,VGG,Yes,None,0.0001,2,SGD
31,0.874500572681427,0.3714672327041626,0.966183602809906,0.1282988935708999,13,VGG,Yes,None,0.0001,2,SGD
32,0.8829024434089661,0.3490267693996429,0.9681159257888794,0.108396366238594,13,VGG,Yes,None,0.0001,2,SGD
33,0.8890717029571533,0.3346059620380401,0.9739130139350892,0.098685123026371,13,VGG,Yes,None,0.0001,2,SGD
34,0.8977673053741455,0.3086791634559631,0.9671497344970704,0.1037880852818489,13,VGG,Yes,None,0.0001,2,SGD
35,0.9007638096809388,0.2914904654026031,0.9690821170806884,0.1088804379105568,13,VGG,Yes,None,0.0001,2,SGD
36,0.9073442816734314,0.2761844098567962,0.9719806909561156,0.0909276232123375,13,VGG,Yes,None,0.0001,2,SGD
37,0.9154524207115172,0.2518701553344726,0.9739130139350892,0.0944097712635994,13,VGG,Yes,None,0.0001,2,SGD
38,0.9196827411651612,0.2453211098909378,0.9748792052268982,0.0791703090071678,13,VGG,Yes,None,0.0001,2,SGD
39,0.9202114939689636,0.2363788783550262,0.9777777791023254,0.0697233974933624,13,VGG,Yes,None,0.0001,2,SGD
40,0.9280258417129515,0.2170377522706985,0.9777777791023254,0.0851379781961441,13,VGG,Yes,None,0.0001,2,SGD
41,0.9285546541213988,0.2206219434738159,0.9758453965187072,0.0621316358447074,13,VGG,Yes,None,0.0001,2,SGD
42,0.9363102316856384,0.1978123933076858,0.9758453965187072,0.0745904296636581,13,VGG,Yes,None,0.0001,2,SGD
43,0.936369001865387,0.1934676021337509,0.9845410585403442,0.0548586957156658,13,VGG,Yes,None,0.0001,2,SGD
44,0.9386603832244872,0.1859386265277862,0.9787439703941344,0.0738634690642356,13,VGG,Yes,None,0.0001,2,SGD
45,0.943184494972229,0.177633136510849,0.981642484664917,0.078620932996273,13,VGG,Yes,None,0.0001,2,SGD
46,0.9402467608451844,0.1781457960605621,0.9806763529777528,0.058367870748043,13,VGG,Yes,None,0.0001,2,SGD
47,0.9454171657562256,0.1683489382266998,0.982608675956726,0.0729366391897201,13,VGG,Yes,None,0.0001,2,SGD
48,0.9471797943115234,0.1632913798093795,0.981642484664917,0.0517874285578727,13,VGG,Yes,None,0.0001,2,SGD
49,0.9505288004875184,0.154619812965393,0.9758453965187072,0.0583660192787647,13,VGG,Yes,None,0.0001,2,SGD
0,0.0558166876435279,2.9832913875579834,0.0888888910412788,2.866406917572021,14,VGG,Yes,None,0.0001,2,Adam
1,0.1109283193945884,2.8172383308410645,0.1497584581375122,2.6893839836120605,14,VGG,Yes,None,0.0001,2,Adam
2,0.1902467757463455,2.5568323135375977,0.2917874455451965,2.109937906265259,14,VGG,Yes,None,0.0001,2,Adam
3,0.3392479419708252,1.9679524898529053,0.5053139925003052,1.5110572576522827,14,VGG,Yes,None,0.0001,2,Adam
4,0.6472973227500916,1.0290720462799072,0.9449275135993958,0.2124174088239669,14,VGG,Yes,None,0.0001,2,Adam
5,0.92056405544281,0.2569240927696228,0.9690821170806884,0.1354483217000961,14,VGG,Yes,None,0.0001,2,Adam
6,0.9727967381477356,0.0944676771759986,0.9845410585403442,0.0779525488615036,14,VGG,Yes,None,0.0001,2,Adam
7,0.9811986088752748,0.0639334022998809,0.9864734411239624,0.054175492376089,14,VGG,Yes,None,0.0001,2,Adam
8,0.9847238659858704,0.0532874837517738,0.9932367205619812,0.0366412475705146,14,VGG,Yes,None,0.0001,2,Adam
9,0.9926556944847108,0.0261609405279159,0.9893719553947448,0.0854113474488258,14,VGG,Yes,None,0.0001,2,Adam
10,0.9930081963539124,0.0277440529316663,0.992270529270172,0.048323281109333,14,VGG,Yes,None,0.0001,2,Adam
11,0.9920094013214112,0.0252904016524553,0.9932367205619812,0.0356108993291854,14,VGG,Yes,None,0.0001,2,Adam
12,0.9939482808113098,0.0208803117275238,0.992270529270172,0.0474915914237499,14,VGG,Yes,None,0.0001,2,Adam
13,0.9930669665336608,0.0304338969290256,0.9961352944374084,0.0211561247706413,14,VGG,Yes,None,0.0001,2,Adam
14,0.9958284497261048,0.0156899783760309,0.9932367205619812,0.0214559100568294,14,VGG,Yes,None,0.0001,2,Adam
15,0.995945930480957,0.0202286019921302,0.9893719553947448,0.0470144748687744,14,VGG,Yes,None,0.0001,2,Adam
16,0.9951233863830566,0.018488185480237,0.992270529270172,0.0554795786738395,14,VGG,Yes,None,0.0001,2,Adam
17,0.9976498484611512,0.0111304596066474,0.9845410585403442,0.0682039931416511,14,VGG,Yes,None,0.0001,2,Adam
18,0.9964159727096558,0.0144867757335305,0.9893719553947448,0.0445150658488273,14,VGG,Yes,None,0.0001,2,Adam
0,0.0741480588912963,2.997349739074707,0.2231884002685547,2.8661694526672363,15,VGG,Yes,½,0.001,2,SGD
1,0.2171562910079956,2.545905113220215,0.6560386419296265,1.6085574626922607,15,VGG,Yes,½,0.001,2,SGD
2,0.5355464220046997,1.4020540714263916,0.8705313801765442,0.4752280712127685,15,VGG,Yes,½,0.001,2,SGD
3,0.7478848695755005,0.7321413159370422,0.7942029237747192,0.5088481307029724,15,VGG,Yes,½,0.001,2,SGD
4,0.8471210598945618,0.4405086636543274,0.9497584700584412,0.1931008100509643,15,VGG,Yes,½,0.001,2,SGD
5,0.8958871960639954,0.3111298382282257,0.9613526463508606,0.1446968615055084,15,VGG,Yes,½,0.001,2,SGD
6,0.9243243336677552,0.2267660498619079,0.9652174115180968,0.130658358335495,15,VGG,Yes,½,0.001,2,SGD
7,0.9427144527435304,0.1774192601442337,0.9729468822479248,0.1107175797224044,15,VGG,Yes,½,0.001,2,SGD
8,0.9558754563331604,0.1399641036987304,0.9787439703941344,0.0787131190299987,15,VGG,Yes,½,0.001,2,SGD
9,0.9650411009788512,0.1100543811917305,0.9787439703941344,0.067006766796112,15,VGG,Yes,½,0.001,2,SGD
10,0.9725617170333862,0.0932698026299476,0.9855072498321532,0.0435729548335075,15,VGG,Yes,½,0.001,2,SGD
11,0.9765570163726808,0.0786972939968109,0.9806763529777528,0.0560942776501178,15,VGG,Yes,½,0.001,2,SGD
12,0.9786721467971802,0.0709310472011566,0.9855072498321532,0.041712075471878,15,VGG,Yes,½,0.001,2,SGD
13,0.981022298336029,0.0599298626184463,0.9845410585403442,0.0482147485017776,15,VGG,Yes,½,0.001,2,SGD
14,0.9823736548423768,0.0554438270628452,0.9893719553947448,0.0344891734421253,15,VGG,Yes,½,0.001,2,SGD
15,0.9854289293289183,0.0514773614704608,0.990338146686554,0.0380432605743408,15,VGG,Yes,½,0.001,2,SGD
16,0.9883078932762146,0.0395347289741039,0.990338146686554,0.0358145907521247,15,VGG,Yes,½,0.001,2,SGD
17,0.9880728721618652,0.0408646129071712,0.9864734411239624,0.0447252765297889,15,VGG,Yes,½,0.001,2,SGD
18,0.9901292324066162,0.0370731316506862,0.9893719553947448,0.034858264029026,15,VGG,Yes,½,0.001,2,SGD
19,0.9910105466842652,0.0334333404898643,0.9884058237075806,0.0308239124715328,15,VGG,Yes,½,0.001,2,SGD
20,0.990716814994812,0.030630525201559,0.991304337978363,0.0391023941338062,15,VGG,Yes,½,0.001,2,SGD
21,0.9901292324066162,0.0317647568881511,0.991304337978363,0.0293942783027887,15,VGG,Yes,½,0.001,2,SGD
22,0.9917743802070618,0.0285479705780744,0.9932367205619812,0.0183169264346361,15,VGG,Yes,½,0.001,2,SGD
23,0.9907755851745604,0.0301995240151882,0.991304337978363,0.0221760254353284,15,VGG,Yes,½,0.001,2,SGD
24,0.993184506893158,0.0241540651768445,0.990338146686554,0.0334554649889469,15,VGG,Yes,½,0.001,2,SGD
25,0.992303192615509,0.0245020780712366,0.9893719553947448,0.0255050007253885,15,VGG,Yes,½,0.001,2,SGD
26,0.9939482808113098,0.0210712384432554,0.9893719553947448,0.0503474287688732,15,VGG,Yes,½,0.001,2,SGD
27,0.9925969243049622,0.0242289174348115,0.991304337978363,0.0303006097674369,15,VGG,Yes,½,0.001,2,SGD
0,0.051116332411766,3.136103391647339,0.0531400963664054,2.965693473815918,16,VGG,No,½,0.001,1,SGD
1,0.0687426552176475,2.984675645828247,0.1739130467176437,2.906690120697021,16,VGG,No,½,0.001,1,SGD
2,0.1136897802352905,2.891350746154785,0.2318840622901916,2.793060064315796,16,VGG,No,½,0.001,1,SGD
3,0.1765569895505905,2.752509593963623,0.3864734172821045,2.545907974243164,16,VGG,No,½,0.001,1,SGD
4,0.2690951824188232,2.4299840927124023,0.4589371979236603,1.9729530811309812,16,VGG,No,½,0.001,1,SGD
5,0.4118683934211731,1.936175346374512,0.4975845515727997,1.5552393198013306,16,VGG,No,½,0.001,1,SGD
6,0.52173912525177,1.4868834018707275,0.7439613342285156,0.9667744636535645,16,VGG,No,½,0.001,1,SGD
7,0.6274970769882202,1.131425857543945,0.772946834564209,0.7794283032417297,16,VGG,No,½,0.001,1,SGD
8,0.6950646042823792,0.9148802757263184,0.8647342920303345,0.573428213596344,16,VGG,No,½,0.001,1,SGD
9,0.7541127800941467,0.7498591542243958,0.6908212304115295,0.8147484064102173,16,VGG,No,½,0.001,1,SGD
10,0.7852526307106018,0.6396088600158691,0.8937197923660278,0.4311850666999817,16,VGG,No,½,0.001,1,SGD
11,0.8225616812705994,0.5292813777923584,0.8067632913589478,0.4133763611316681,16,VGG,No,½,0.001,1,SGD
12,0.8531140089035034,0.4407538771629333,0.946859896183014,0.2413060069084167,16,VGG,No,½,0.001,1,SGD
13,0.8769094944000244,0.3668676316738128,0.95652174949646,0.2126045525074005,16,VGG,No,½,0.001,1,SGD
14,0.8936545252799988,0.3258011937141418,0.95652174949646,0.1543475836515426,16,VGG,No,½,0.001,1,SGD
15,0.9115746021270752,0.2781331837177276,0.9710144996643066,0.1282316595315933,16,VGG,No,½,0.001,1,SGD
16,0.9177438020706176,0.2535752654075622,0.9806763529777528,0.0997068881988525,16,VGG,No,½,0.001,1,SGD
17,0.9333137273788452,0.2253028154373169,0.9758453965187072,0.0986422076821327,16,VGG,No,½,0.001,1,SGD
18,0.9435957670211792,0.1830566823482513,0.9758453965187072,0.0857157036662101,16,VGG,No,½,0.001,1,SGD
19,0.9474148154258728,0.1645429581403732,0.966183602809906,0.0914490446448326,16,VGG,No,½,0.001,1,SGD
20,0.95652174949646,0.1570441573858261,0.9806763529777528,0.0809052586555481,16,VGG,No,½,0.001,1,SGD
21,0.956227958202362,0.1495924592018127,0.9710144996643066,0.0976928323507309,16,VGG,No,½,0.001,1,SGD
22,0.9612221121788024,0.1369816958904266,0.9855072498321532,0.0573645494878292,16,VGG,No,½,0.001,1,SGD
23,0.95799058675766,0.1232717335224151,0.9806763529777528,0.0595898777246475,16,VGG,No,½,0.001,1,SGD
